Source: CPS Annual Social and Economic (March) Supplement 201703
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","313369693","278936760","1749128","4003296","3858242","3415871","431015","1905887","281758","313034","2501307","5500355","977115","2864754","363143","2622527","1018931","183402","654943","88021","1700204",""
" -> Total -> Total Alabama","4703721","4185294","37692","80240","90108","59487","3499","28159","1468","20725","10567","103576","3774","34320","0","12043","0","9430","5873","0","17466",""
"Not Elsewhere Classified","4189359","4185294","0","0","0","4065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","107791","0","9604","17456","20839","3087","3499","5825","0","8534","2454","23094","0","0","0","4641","0","6679","0","0","2079",""
"Different State","81142","0","0","3030","18770","44422","0","2500","1468","4445","0","1905","0","0","0","0","0","1776","0","0","2826",""
"Same County","325429","0","28088","59754","50499","7913","0","19834","0","7746","8113","78577","3774","34320","0","7402","0","975","5873","0","12561",""
" -> Total -> Total Alaska","699973","608609","3429","16510","11813","16279","3178","3619","4355","1205","4945","4211","2495","4775","376","7299","475","0","695","0","5705",""
"Not Elsewhere Classified","612507","608609","0","2839","300","479","0","0","0","0","0","0","0","0","0","0","0","0","0","0","280",""
"Different County, Same State","6647","0","0","1510","1346","2108","0","0","0","241","0","0","0","0","0","967","475","0","0","0","0",""
"Different State","20274","0","0","2307","2202","12452","1395","441","0","964","0","0","0","0","0","513","0","0","0","0","0",""
"Same County","60545","0","3429","9854","7965","1240","1783","3178","4355","0","4945","4211","2495","4775","376","5819","0","0","695","0","5425",""
