"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","317302395","286288323","1543058","3562217","3211002","3742346","264395","1907991","300029","358714","1965525","5273963","925302","2086947","212940","2074983","798047","221125","726326","170297","1668865",""
" -> Total -> Total Alabama","4711043","4297824","7274","41553","66019","50755","21087","45557","0","2879","27523","39123","0","9568","10515","50613","15449","0","25304","0","0",""
"Not Elsewhere Classified","4305096","4297824","0","0","0","4280","0","0","0","0","0","0","0","0","0","0","2992","0","0","0","0",""
"Different County, Same State","121333","0","5500","12669","20317","14471","13578","16350","0","0","1029","0","0","2092","0","18309","1465","0","15553","0","0",""
"Different State","92515","0","0","1857","14311","27109","5749","0","0","2879","1934","17352","0","0","0","13486","6276","0","1562","0","0",""
"Same County","192099","0","1774","27027","31391","4895","1760","29207","0","0","24560","21771","0","7476","10515","18818","4716","0","8189","0","0",""
" -> Total -> Total Alaska","715320","632595","4154","5569","2922","13505","8804","1318","987","0","7054","18124","3675","5076","0","4876","0","678","758","0","5225",""
"Not Elsewhere Classified","634450","632595","0","0","753","700","0","402","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","5410","0","0","903","515","535","0","0","987","0","0","0","0","970","0","216","0","0","0","0","1284",""
"Different State","17072","0","0","1985","376","10528","674","0","0","0","0","1098","0","488","0","0","0","678","0","0","1245",""
"Same County","58388","0","4154","2681","1278","1742","8130","916","0","0","7054","17026","3675","3618","0","4660","0","0","758","0","2696",""
" -> Total -> Total Arizona","7324871","6441531","43618","51461","73280","131631","35079","34917","15872","8212","90012","176672","7028","46477","0","61017","20480","27196","20763","0","39625",""
"Not Elsewhere Classified","6470309","6441531","0","0","8503","9513","0","0","0","0","0","0","0","0","0","0","6505","0","0","0","4257",""
"Different County, Same State","43899","0","0","18009","8475","4531","1978","0","0","0","0","0","0","0","0","7814","0","3092","0","0","0",""
"Different State","220338","0","18901","0","10642","63098","0","0","15872","8212","9757","19371","0","1513","0","3990","13975","24104","16108","0","14795",""
"Same County","590325","0","24717","33452","45660","54489","33101","34917","0","0","80255","157301","7028","44964","0","49213","0","0","4655","0","20573",""
" -> Total -> Total Arkansas","2782973","2517517","14669","52698","24870","9021","3348","2594","0","0","17438","42745","4352","39018","0","33410","2416","0","11337","0","7540",""
"Not Elsewhere Classified","2528790","2517517","0","0","2839","695","0","0","0","0","0","0","0","4639","0","0","0","0","0","0","3100",""
"Different County, Same State","30225","0","0","3366","3067","4344","0","0","0","0","7588","0","0","0","0","4026","0","0","6298","0","1536",""
"Different State","19851","0","1522","1356","6854","2632","2077","0","0","0","0","0","0","1952","0","0","872","0","2586","0","0",""
"Same County","204107","0","13147","47976","12110","1350","1271","2594","0","0","9850","42745","4352","32427","0","29384","1544","0","2453","0","2904",""
" -> Total -> Total California","38071203","34697101","137557","350471","239976","335062","12254","221696","10622","79780","188920","763648","94743","172001","22397","298499","130295","5310","42808","44157","223906",""
"Not Elsewhere Classified","34892495","34697101","3768","16139","16969","20304","0","0","0","15608","0","0","0","0","0","0","43614","0","0","0","78992",""
"Different County, Same State","698293","0","16213","73383","65134","82469","7346","71911","10622","4895","38643","93964","21699","43350","0","59791","16212","0","11460","33879","47322",""
"Different State","248640","0","0","9628","38093","121712","0","8800","0","22195","0","14812","0","0","0","0","26976","0","3178","0","3246",""
"Same County","2231775","0","117576","251321","119780","110577","4908","140985","0","37082","150277","654872","73044","128651","22397","238708","43493","5310","28170","10278","94346",""
" -> Total -> Total Colorado","5627907","5082646","44299","24224","53866","132661","3681","13783","0","0","29049","114382","0","23123","0","51342","40077","0","0","0","14774",""
"Not Elsewhere Classified","5084939","5082646","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2293","0","0","0","0",""
"Different County, Same State","61378","0","3395","0","0","15218","0","0","0","0","20720","10578","0","7093","0","0","4374","0","0","0","0",""
"Different State","160571","0","0","11787","11880","93448","3681","0","0","0","3878","11955","0","0","0","6957","16985","0","0","0","0",""
"Same County","321019","0","40904","12437","41986","23995","0","13783","0","0","4451","91849","0","16030","0","44385","16425","0","0","0","14774",""
" -> Total -> Total Connecticut","3312258","3074954","9775","30429","45499","34994","0","23155","0","0","0","10662","2821","23271","2573","15746","13436","1167","0","10997","12779",""
"Not Elsewhere Classified","3106934","3074954","0","0","11286","0","0","0","0","0","0","0","0","0","0","0","9697","0","0","10997","0",""
"Different County, Same State","32133","0","964","8340","3338","0","0","7793","0","0","0","0","0","3510","0","4449","3739","0","0","0","0",""
"Different State","105335","0","8811","0","24205","34994","0","12394","0","0","0","0","0","6333","0","4652","0","1167","0","0","12779",""
"Same County","67856","0","0","22089","6670","0","0","2968","0","0","0","10662","2821","13428","2573","6645","0","0","0","0","0",""
" -> Total -> Total Delaware","941732","874411","1662","9705","0","4832","5061","5598","4307","0","11260","8812","782","0","0","5760","3112","0","0","0","6430",""
"Not Elsewhere Classified","874411","874411","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","11266","0","0","2767","0","0","0","2690","2626","0","2349","0","0","0","0","0","0","0","0","0","834",""
"Different State","15281","0","938","0","0","3257","0","2062","0","0","1317","1251","0","0","0","0","1701","0","0","0","4755",""
"Same County","40774","0","724","6938","0","1575","5061","846","1681","0","7594","7561","782","0","0","5760","1411","0","0","0","841",""
" -> Total -> Total District of Columbia","658015","564309","1576","8520","5012","19953","1248","6170","511","0","3714","16314","3234","6706","648","6995","3892","0","733","0","8480",""
"Not Elsewhere Classified","567105","564309","0","0","0","2135","0","0","0","0","0","0","0","0","0","0","456","0","0","0","205",""
"Different County, Same State","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different State","34402","0","547","1544","2482","15264","473","2774","511","0","350","1146","753","1411","452","447","3047","0","733","0","2468",""
"Same County","56508","0","1029","6976","2530","2554","775","3396","0","0","3364","15168","2481","5295","196","6548","389","0","0","0","5807",""
" -> Total -> Total Florida","20580770","18613070","74909","331938","163652","111223","22660","89314","54118","69120","105157","228824","68328","107990","13617","252872","32049","53503","82678","27464","78284",""
"Not Elsewhere Classified","18761102","18613070","2233","5680","21427","19894","7194","10194","7897","19262","0","0","0","0","1885","0","5605","0","0","11287","35474",""
