Source: CPS Annual Social and Economic (March) Supplement 201603
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","312869105","278052558","1642199","4281858","3649244","3785078","514016","2056613","230029","416951","2052079","6079570","1099475","2847780","298349","2337486","1121595","249937","614735","18099","1521454",""
" -> Total -> Total NonMSA to NonMSA","3074072","0","165074","519968","350400","145724","32133","83504","10560","17421","145416","668027","128800","316376","33074","229468","31585","13712","52588","12771","117471",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","492266","0","28087","103220","83681","44232","13446","34363","0","5361","16299","71458","13857","35086","10727","11671","9361","0","661","0","10756",""
"Different State","188331","0","6042","37106","37772","60062","705","4715","0","1384","6706","5306","5788","1305","0","7810","5298","4415","333","0","3584",""
"Same County","2393475","0","130945","379642","228947","41430","17982","44426","10560","10676","122411","591263","109155","279985","22347","209987","16926","9297","51594","12771","103131",""
" -> Total -> Total others","279654710","278052558","127640","76244","229118","416272","26099","56355","1644","93914","41097","64925","35455","60808","0","59271","168070","1497","25086","0","118657",""
"Not Elsewhere Classified","279322614","278052558","91851","42931","190722","395816","21810","34660","1644","93914","21866","37856","23135","18837","0","6060","156617","1497","13975","0","116865",""
"Different County, Same State","58390","0","11558","3025","14007","0","1940","7392","0","0","6953","694","0","7644","0","5177","0","0","0","0","0",""
"Different State","34397","0","1161","0","6986","10146","0","0","0","0","0","0","12320","0","0","0","1992","0","0","0","1792",""
"Same County","239309","0","23070","30288","17403","10310","2349","14303","0","0","12278","26375","0","34327","0","48034","9461","0","11111","0","0",""
" -> Total -> Total MSA to MSA","27971538","0","1210207","3531431","2668865","2791257","344490","1820631","199654","273090","1818555","5146298","933507","2342156","262524","1956191","822635","192438","488672","5328","1163609",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","5486930","0","149960","572647","644763","795867","88121","508101","61497","39725","407612","636315","202477","333645","41334","296221","223909","62644","96542","3534","322016",""
"Different State","3730340","0","100188","127475","632380","1373749","167824","138144","23886","107648","84136","126437","59340","168759","10075","100412","193540","76874","105891","0","133582",""
"Same County","18754268","0","960059","2831309","1391722","621641","88545","1174386","114271","125717","1326807","4383546","671690","1839752","211115","1559558","405186","52920","286239","1794","708011",""
" -> Total -> Total MSA to NonMSA","967784","0","56098","78101","146559","203056","40006","47586","9486","20916","13959","114066","1713","33322","2751","34208","37219","8642","26612","0","93484",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","600351","0","37715","54379","98140","95233","22493","44644","5399","1133","13256","86509","0","24606","0","26089","15963","0","22929","0","51863",""
"Different State","367433","0","18383","23722","48419","107823","17513","2942","4087","19783","703","27557","1713","8716","2751","8119","21256","8642","3683","0","41621",""
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
" -> Total -> Total NonMSA to MSA","1201001","0","83180","76114","254302","228769","71288","48537","8685","11610","33052","86254","0","95118","0","58348","62086","33648","21777","0","28233",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","781432","0","66145","61400","153578","106154","49171","44180","4046","5549","32624","59795","0","74216","0","46323","39646","7680","11486","0","19439",""
"Different State","419569","0","17035","14714","100724","122615","22117","4357","4639","6061","428","26459","0","20902","0","12025","22440","25968","10291","0","8794",""
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
