GEO.id,GEO.id2,GEO.display-label,popchg4201072015,natinc4201072015,births4201072015,deaths4201072015,netmig4201072015,intlmig4201072015,dommig4201072015,popchg20142015,natinc20142015,births20142015,deaths20142015,netmig20142015,intlmig20142015,dommig20142015
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2015 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2015 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2015 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2015 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2015 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2015 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2015 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2014 to July 1, 2015 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2014 to July 1, 2015 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2014 to July 1, 2015 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2014 to July 1, 2015 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2014 to July 1, 2015 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2014 to July 1, 2015 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2014 to July 1, 2015 - Net Migration - Domestic"
310M200US10100,10100,"Aberdeen, SD Micro Area",2182,632,2822,2190,1615,798,817,203,164,554,390,77,175,-98
310M200US10140,10140,"Aberdeen, WA Micro Area",-1675,-83,4139,4222,-1536,330,-1866,286,-52,755,807,287,73,214
310M200US10220,10220,"Ada, OK Micro Area",702,632,2906,2274,67,142,-75,20,62,550,488,-70,33,-103
310M200US10300,10300,"Adrian, MI Micro Area",-1319,559,5565,5006,-1883,237,-2120,-207,130,1083,953,-374,48,-422
310M200US10460,10460,"Alamogordo, NM Micro Area",563,1742,4653,2911,-1064,2152,-3216,-604,312,887,575,-861,485,-1346
310M200US10620,10620,"Albemarle, NC Micro Area",129,3,3434,3431,151,212,-61,85,2,677,675,80,48,32
310M200US10660,10660,"Albert Lea, MN Micro Area",-642,-33,1835,1868,-562,104,-666,-176,-12,344,356,-139,23,-162
310M200US10700,10700,"Albertville, AL Micro Area",1706,921,6573,5652,678,521,157,369,128,1214,1086,145,105,40
310M200US10820,10820,"Alexandria, MN Micro Area",1066,86,2110,2024,877,91,786,277,22,413,391,234,21,213
310M200US10860,10860,"Alice, TX Micro Area",544,1301,3387,2086,-747,20,-767,4,279,650,371,-281,5,-286
310M200US10940,10940,"Alma, MI Micro Area",-936,-77,2177,2254,-925,92,-1017,-93,-25,402,427,-84,20,-104
310M200US10980,10980,"Alpena, MI Micro Area",-795,-497,1385,1882,-245,39,-284,-149,-69,268,337,-72,8,-80
310M200US11060,11060,"Altus, OK Micro Area",-872,1047,2315,1268,-1924,418,-2342,-307,224,426,202,-517,87,-604
310M200US11140,11140,"Americus, GA Micro Area",-1880,480,2396,1916,-2417,74,-2491,-429,71,430,359,-521,16,-537
310M200US11220,11220,"Amsterdam, NY Micro Area",-615,84,3071,2987,-656,476,-1132,-87,66,607,541,-137,107,-244
310M200US11380,11380,"Andrews, TX Micro Area",3319,1037,1626,589,2265,80,2185,648,254,353,99,396,19,377
310M200US11420,11420,"Angola, IN Micro Area",189,441,2011,1570,-179,38,-217,-34,116,418,302,-107,9,-116
310M200US11580,11580,"Arcadia, FL Micro Area",596,529,2012,1483,91,783,-692,301,106,381,275,178,174,4
310M200US11620,11620,"Ardmore, OK Micro Area",963,195,3443,3248,758,135,623,-67,47,684,637,-119,29,-148
310M200US11660,11660,"Arkadelphia, AR Micro Area",-362,-58,1281,1339,-319,94,-413,-66,6,245,239,-69,21,-90
310M200US11680,11680,"Arkansas City-Winfield, KS Micro Area",-523,201,2400,2199,-738,270,-1008,-132,39,438,399,-172,58,-230
310M200US11740,11740,"Ashland, OH Micro Area",74,413,3249,2836,-399,296,-695,128,83,626,543,-1,63,-64
310M200US11780,11780,"Ashtabula, OH Micro Area",-2865,-209,5797,6006,-2593,375,-2968,-506,-14,1084,1098,-475,87,-562
310M200US11820,11820,"Astoria, OR Micro Area",794,207,2198,1991,588,185,403,406,29,409,380,360,42,318
310M200US11860,11860,"Atchison, KS Micro Area",-526,118,1056,938,-631,16,-647,-93,22,191,169,-115,4,-119
310M200US11900,11900,"Athens, OH Micro Area",1113,403,2894,2491,711,1586,-875,1164,78,541,463,1105,346,759
310M200US11940,11940,"Athens, TN Micro Area",373,-411,2968,3379,790,356,434,-45,-52,583,635,10,78,-68
310M200US11980,11980,"Athens, TX Micro Area",1009,-441,4741,5182,1405,143,1262,286,-108,909,1017,282,37,245
310M200US12140,12140,"Auburn, IN Micro Area",366,757,2753,1996,-362,83,-445,81,151,538,387,-44,17,-61
310M200US12180,12180,"Auburn, NY Micro Area",-1732,240,4092,3852,-1794,361,-2155,-548,47,736,689,-429,79,-508
310M200US12300,12300,"Augusta-Waterville, ME Micro Area",-2171,-681,6053,6734,-825,234,-1059,-1046,-195,1090,1285,-292,55,-347
310M200US12380,12380,"Austin, MN Micro Area",-47,712,2631,1919,-762,291,-1053,-102,160,501,341,-249,61,-310
310M200US12460,12460,"Bainbridge, GA Micro Area",-668,262,1881,1619,-938,-1,-937,-65,9,339,330,-75,1,-76
310M200US12660,12660,"Baraboo, WI Micro Area",1666,1012,4023,3011,523,383,140,282,190,767,577,77,80,-3
310M200US12680,12680,"Bardstown, KY Micro Area",1689,1195,3108,1913,483,1,482,326,214,594,380,80,3,77
310M200US12740,12740,"Barre, VT Micro Area",-914,279,3031,2752,-1131,95,-1226,-328,41,547,506,-348,21,-369
310M200US12780,12780,"Bartlesville, OK Micro Area",1044,210,3316,3106,913,398,515,54,1,630,629,55,83,-28
310M200US12820,12820,"Bastrop, LA Micro Area",-1584,-60,1893,1953,-1497,30,-1527,-349,2,348,346,-334,6,-340
310M200US12860,12860,"Batavia, NY Micro Area",-1096,-110,3137,3247,-1029,466,-1495,-162,-37,578,615,-184,103,-287
310M200US12900,12900,"Batesville, AR Micro Area",405,245,2411,2166,239,136,103,-9,23,441,418,20,29,-9
310M200US13060,13060,"Bay City, TX Micro Area",68,885,2740,1855,-757,59,-816,301,172,525,353,167,16,151
310M200US13100,13100,"Beatrice, NE Micro Area",-411,-189,1261,1450,-241,-1,-240,238,-17,239,256,238,0,238
310M200US13180,13180,"Beaver Dam, WI Micro Area",-259,-69,4467,4536,-300,251,-551,-68,-1,868,869,-110,54,-164
310M200US13260,13260,"Bedford, IN Micro Area",-634,-383,2473,2856,-209,150,-359,-120,-72,457,529,-38,31,-69
310M200US13300,13300,"Beeville, TX Micro Area",1013,745,1985,1240,367,99,268,-37,197,402,205,-175,25,-200
310M200US13340,13340,"Bellefontaine, OH Micro Area",-472,403,2877,2474,-856,61,-917,-123,72,556,484,-190,14,-204
310M200US13420,13420,"Bemidji, MN Micro Area",1230,1561,3687,2126,-324,220,-544,49,271,673,402,-239,51,-290
310M200US13500,13500,"Bennettsville, SC Micro Area",-1439,-111,1586,1697,-1302,50,-1352,-395,-17,301,318,-377,11,-388
310M200US13540,13540,"Bennington, VT Micro Area",-808,-546,1747,2293,-288,91,-379,-95,-116,328,444,0,20,-20
310M200US13620,13620,"Berlin, NH-VT Micro Area",-1983,-841,1620,2461,-1114,61,-1175,-448,-155,309,464,-277,12,-289
310M200US13660,13660,"Big Rapids, MI Micro Area",269,269,2180,1911,46,323,-277,-140,54,391,337,-181,69,-250
310M200US13700,13700,"Big Spring, TX Micro Area",2283,396,2380,1984,1895,390,1505,679,130,471,341,595,86,509
310M200US13720,13720,"Big Stone Gap, VA Micro Area",-2547,-281,3498,3779,-2227,94,-2321,-509,-24,651,675,-432,20,-452
310M200US13940,13940,"Blackfoot, ID Micro Area",-617,2210,3891,1681,-2752,-18,-2734,-214,380,704,324,-541,0,-541
310M200US14140,14140,"Bluefield, WV-VA Micro Area",-3282,-1741,6289,8030,-1533,211,-1744,-1040,-322,1168,1490,-793,43,-836
310M200US14180,14180,"Blytheville, AR Micro Area",-2742,782,3377,2595,-3425,135,-3560,-544,156,636,480,-623,31,-654
310M200US14220,14220,"Bogalusa, LA Micro Area",-800,13,2950,2937,-807,-2,-805,84,-22,571,593,59,0,59
310M200US14340,14340,"Boone, IA Micro Area",337,57,1586,1529,255,22,233,223,5,290,285,188,6,182
310M200US14380,14380,"Boone, NC Micro Area",1827,99,1842,1743,1839,155,1684,518,13,352,339,546,38,508
310M200US14420,14420,"Borger, TX Micro Area",-515,391,1586,1195,-834,83,-917,-81,104,308,204,-132,17,-149
310M200US14580,14580,"Bozeman, MT Micro Area",11226,3194,5938,2744,7827,523,7304,3463,668,1199,531,2752,109,2643
310M200US14620,14620,"Bradford, PA Micro Area",-1038,-493,2286,2779,-506,91,-597,-296,-62,448,510,-217,19,-236
310M200US14660,14660,"Brainerd, MN Micro Area",1067,730,5612,4882,418,193,225,355,127,1055,928,250,42,208
310M200US14700,14700,"Branson, MO Micro Area",1655,28,4603,4575,1760,572,1188,296,19,888,869,389,121,268
310M200US14720,14720,"Breckenridge, CO Micro Area",2263,1191,1460,269,1134,848,286,806,219,269,50,644,179,465
310M200US14780,14780,"Brenham, TX Micro Area",1057,191,2148,1957,810,269,541,352,55,415,360,275,61,214
310M200US14820,14820,"Brevard, NC Micro Area",121,-621,1425,2046,754,56,698,220,-80,291,371,271,13,258
310M200US15020,15020,"Brookhaven, MS Micro Area",-220,358,2426,2068,-557,43,-600,-117,89,471,382,-184,8,-192
310M200US15060,15060,"Brookings, OR Micro Area",119,-904,945,1849,965,-28,993,218,-183,172,355,350,-5,355
310M200US15100,15100,"Brookings, SD Micro Area",1932,1094,2123,1029,842,614,228,503,232,426,194,275,137,138
