GEO.id,GEO.id2,GEO.display-label,popchg4201072017,natinc4201072017,births4201072017,deaths4201072017,netmig4201072017,intlmig4201072017,dommig4201072017,popchg20162017,natinc20162017,births20162017,deaths20162017,netmig20162017,intlmig20162017,dommig20162017
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - Domestic"
310M300US10180,10180,"Abilene, TX Metro Area",4971,5210,17157,11947,-191,2520,-2711,486,658,2375,1717,-167,279,-446
310M300US10420,10420,"Akron, OH Metro Area",302,3696,54644,50948,-3014,10413,-13427,949,204,7342,7138,770,1647,-877
310M300US10500,10500,"Albany, GA Metro Area",-6066,4796,15175,10379,-10964,860,-11824,-1006,389,1881,1492,-1396,136,-1532
310M300US10540,10540,"Albany, OR Metro Area",8375,1912,10685,8773,6504,-31,6535,2347,254,1555,1301,2087,-3,2090
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",15468,9693,65757,56064,6220,18287,-12067,3387,868,8848,7980,2535,2650,-115
310M300US10740,10740,"Albuquerque, NM Metro Area",23665,25754,76949,51195,-1692,7722,-9414,3849,2527,10175,7648,1362,1194,168
310M300US10780,10780,"Alexandria, LA Metro Area",62,3261,14915,11654,-3122,1028,-4150,-410,389,2000,1611,-798,164,-962
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",19278,4596,62437,57841,15221,20932,-5711,5317,572,8521,7949,4789,3369,1420
310M300US11020,11020,"Altoona, PA Metro Area",-3619,-1844,9758,11602,-1671,161,-1832,-470,-364,1285,1649,-99,24,-123
310M300US11100,11100,"Amarillo, TX Metro Area",12992,10711,27432,16721,2179,5559,-3380,1889,1347,3662,2315,542,892,-350
310M300US11180,11180,"Ames, IA Metro Area",7960,3169,6739,3570,4770,5702,-932,686,376,890,514,306,910,-604
310M300US11260,11260,"Anchorage, AK Metro Area",20067,28217,43973,15756,-8464,7988,-16452,-611,3685,6047,2362,-4321,855,-5176
310M300US11460,11460,"Ann Arbor, MI Metro Area",22561,11270,27004,15734,11512,14893,-3381,2875,1320,3669,2349,1564,2265,-701
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",-3858,-374,9755,10129,-3450,405,-3855,-252,-85,1342,1427,-165,82,-247
310M300US11540,11540,"Appleton, WI Metro Area",10460,8785,20633,11848,1820,1618,202,1824,1152,2814,1662,686,260,426
310M300US11700,11700,"Asheville, NC Metro Area",31289,-2358,32212,34570,33350,1252,32098,5231,-447,4544,4991,5659,252,5407
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",16707,6368,16106,9738,10191,3418,6773,3850,816,2219,1403,3024,533,2491
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",597993,278251,529351,251100,318976,130807,188169,89013,35270,73810,38540,53739,20451,33288
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",-4622,3825,22801,18976,-8550,10995,-19545,-912,104,2862,2758,-1021,1609,-2630
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",21308,5941,13181,7240,15188,3920,11268,2621,899,1947,1048,1716,550,1166
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",35278,16283,54179,37896,18854,5224,13630,5262,2021,7610,5589,3256,515,2741
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",399507,121257,188961,67704,273662,49311,224351,55269,16791,27400,10609,38305,8185,30120
310M300US12540,12540,"Bakersfield, CA Metro Area",53498,61007,102106,41099,-7314,12704,-20018,8033,7593,13643,6050,450,2072,-1622
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",97572,72700,244958,172258,26527,64137,-37610,7147,8093,33546,25453,-870,9050,-9920
310M300US12620,12620,"Bangor, ME Metro Area",-1963,-621,10484,11105,-1255,673,-1928,442,-188,1379,1567,638,86,552
310M300US12700,12700,"Barnstable Town, MA Metro Area",-2424,-9345,11326,20671,7104,2173,4931,4,-1313,1519,2832,1330,307,1023
310M300US12940,12940,"Baton Rouge, LA Metro Area",31659,32005,80449,48444,-397,8903,-9300,-1437,4082,11159,7077,-5540,1443,-6983
310M300US12980,12980,"Battle Creek, MI Metro Area",-2020,1386,11991,10605,-3406,1913,-5319,-50,223,1620,1397,-272,318,-590
310M300US13020,13020,"Bay City, MI Metro Area",-3532,-840,7706,8546,-2644,190,-2834,-242,-143,1019,1162,-94,20,-114
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",9243,10446,40128,29682,-1100,4610,-5710,1528,1415,5680,4265,113,790,-677
310M300US13220,13220,"Beckley, WV Metro Area",-6370,-1826,10337,12163,-4503,418,-4921,-1818,-482,1254,1736,-1338,61,-1399
310M300US13380,13380,"Bellingham, WA Metro Area",20259,5504,16704,11200,14793,2671,12122,5130,737,2373,1636,4371,421,3950
310M300US13460,13460,"Bend-Redmond, OR Metro Area",29142,2803,12707,9904,26052,-98,26150,6200,391,1869,1478,5772,19,5753
310M300US13740,13740,"Billings, MT Metro Area",11564,4076,15122,11046,7498,24,7474,1537,507,2083,1576,1039,5,1034
310M300US13780,13780,"Binghamton, NY Metro Area",-9520,-114,18295,18409,-9470,3836,-13306,-1391,-173,2386,2559,-1221,568,-1789
310M300US13820,13820,"Birmingham-Hoover, AL Metro Area",21751,21335,105214,83879,986,7325,-6339,2919,2156,14188,12032,807,1103,-296
310M300US13900,13900,"Bismarck, ND Metro Area",17364,5900,13304,7404,11244,343,10901,745,873,1964,1091,-124,85,-209
310M300US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",4740,1155,11997,10842,3611,4932,-1321,358,124,1597,1473,226,724,-498
310M300US14010,14010,"Bloomington, IL Metro Area",2099,6981,16625,9644,-4932,4250,-9182,-615,880,2272,1392,-1506,644,-2150
310M300US14020,14020,"Bloomington, IN Metro Area",8284,3136,11203,8067,5177,6596,-1419,1211,457,1588,1131,757,994,-237
310M300US14100,14100,"Bloomsburg-Berwick, PA Metro Area",-1359,-632,5924,6556,-669,554,-1223,-178,-144,777,921,-30,76,-106
