date,Metro,State,Net flow
2017/1/1,Sacramento,CA,4089
2017/1/1,Phoenix,AZ,2744
2017/1/1,Las Vegas,NV,2476
2017/1/1,Dallas,TX,2071
2017/1/1,Portland,OR,1556
2017/1/1,Atlanta,GA,1506
2017/1/1,Seattle,WA,1203
2017/1/1,Miami,FL,1202
2017/1/1,Austin,TX,1189
2017/1/1,San Diego,CA,1109
2017/1/1,Tampa,FL,878
2017/1/1,Raleigh,NC,866
2017/1/1,San Antonio,TX,710
2017/1/1,Orlando,FL,680
2017/1/1,Philadelphia,PA,675
2017/1/1,Bellingham,WA,543
2017/1/1,Nashville,TN,537
2017/1/1,Cape Coral,FL,528
2017/1/1,Denver,CO,424
2017/1/1,Salinas,CA,406
2017/1/1,San Luis Obispo,CA,393
2017/1/1,Jacksonville,FL,379
2017/1/1,Fresno,CA,323
2017/1/1,Colorado Springs,CO,320
2017/1/1,Charlotte,NC,316
2017/1/1,Modesto,CA,316
2017/1/1,Salt Lake City,UT,305
2017/1/1,North Port,FL,283
2017/1/1,Reno,NV,280
2017/1/1,Tucson,AZ,190
2017/1/1,Charleston,SC,176
2017/1/1,Bakersfield,CA,164
2017/1/1,Urban Honolulu,HI,159
2017/1/1,Santa Maria,CA,151
2017/1/1,Milwaukee,WI,116
2017/1/1,Rochester,NY,114
2017/1/1,Fort Collins,CO,110
2017/1/1,New Orleans,LA,98
2017/1/1,Eugene,OR,97
2017/1/1,Greensboro,NC,88
2017/1/1,Detroit,MI,75
2017/1/1,Grand Rapids,MI,66
2017/1/1,Kansas City,MO,62
2017/1/1,Memphis,TN,61
2017/1/1,Albuquerque,NM,56
2017/1/1,Baton Rouge,LA,37
2017/1/1,Pittsburgh,PA,37
2017/1/1,Minneapolis,MN,35
2017/1/1,Richmond,VA,33
2017/1/1,Greenville,SC,32
2017/1/1,Cleveland,OH,31
2017/1/1,Virginia Beach,VA,31
2017/1/1,Columbus,OH,27
2017/1/1,Madison,WI,24
2017/1/1,Cincinnati,OH,21
2017/1/1,Albany,NY,19
2017/1/1,Louisville,KY,12
2017/1/1,Oklahoma City,OK,2
2017/1/1,Birmingham,AL,-3
2017/1/1,St. Louis,MO,-16
2017/1/1,Omaha,NE,-31
2017/1/1,Indianapolis,IN,-46
2017/1/1,Knoxville,TN,-50
2017/1/1,Buffalo,NY,-100
2017/1/1,Dayton,OH,-116
2017/1/1,Boston,MA,-677
2017/1/1,Houston,TX,-816
2017/1/1,Chicago,IL,-2617
2017/1/1,Washington,DC,-3999
2017/1/1,Los Angeles,CA,-5328
2017/1/1,New York,NY,-7106
2017/1/1,San Jose,CA,-15028
2017/4/1,San Diego,CA,5286
2017/4/1,Sacramento,CA,4833
2017/4/1,Phoenix,AZ,3849
2017/4/1,Las Vegas,NV,3509
2017/4/1,Atlanta,GA,2767
2017/4/1,Dallas,TX,2036
2017/4/1,Boston,MA,1750
2017/4/1,Miami,FL,1746
2017/4/1,Tampa,FL,1669
2017/4/1,Austin,TX,1655
2017/4/1,Nashville,TN,1364
2017/4/1,Philadelphia,PA,1311
2017/4/1,Raleigh,NC,1302
2017/4/1,Portland,OR,1190
2017/4/1,Charlotte,NC,1178
2017/4/1,San Antonio,TX,916
2017/4/1,San Luis Obispo,CA,675
2017/4/1,Cape Coral,FL,652
2017/4/1,Orlando,FL,602
2017/4/1,Bellingham,WA,593
2017/4/1,Reno,NV,534
2017/4/1,Salt Lake City,UT,530
2017/4/1,North Port,FL,461
2017/4/1,Salinas,CA,456
2017/4/1,Fresno,CA,439
2017/4/1,Colorado Springs,CO,426
2017/4/1,Modesto,CA,421
2017/4/1,Portland,ME,420
2017/4/1,Tucson,AZ,394
2017/4/1,Jacksonville,FL,352
2017/4/1,Seattle,WA,335
2017/4/1,Urban Honolulu,HI,308
2017/4/1,Santa Maria,CA,299
2017/4/1,Charleston,SC,277
2017/4/1,Albuquerque,NM,251
2017/4/1,Bakersfield,CA,249
2017/4/1,Cleveland,OH,210
2017/4/1,Minneapolis,MN,202
2017/4/1,Eugene,OR,201
2017/4/1,Virginia Beach,VA,194
